files_num,best_flair_images,best_t1w_images,best_t1wce_images,best_t2w_images
123,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00123/FLAIR/Image-13.dcm,,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00123/T1wCE/Image-13.dcm,
247,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00247/FLAIR/Image-35.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00247/T1w/Image-117.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00247/T1wCE/Image-115.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00247/T2w/Image-44.dcm
444,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00444/FLAIR/Image-13.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00444/T1w/Image-15.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00444/T1wCE/Image-83.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00444/T2w/Image-13.dcm
765,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00765/FLAIR/Image-75.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00765/T1w/Image-91.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00765/T1wCE/Image-70.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00765/T2w/Image-181.dcm
828,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00828/FLAIR/Image-18.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00828/T1w/Image-15.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00828/T1wCE/Image-39.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00828/T2w/Image-17.dcm
446,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00446/FLAIR/Image-14.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00446/T1w/Image-14.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00446/T1wCE/Image-79.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00446/T2w/Image-14.dcm
565,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00565/FLAIR/Image-332.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00565/T1w/Image-48.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00565/T1wCE/Image-47.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00565/T2w/Image-59.dcm
137,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00137/FLAIR/Image-21.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00137/T1w/Image-26.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00137/T1wCE/Image-20.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00137/T2w/Image-42.dcm
72,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00072/FLAIR/Image-100.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00072/T1w/Image-16.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00072/T1wCE/Image-71.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00072/T2w/Image-214.dcm
412,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00412/FLAIR/Image-34.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00412/T1w/Image-95.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00412/T1wCE/Image-95.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00412/T2w/Image-35.dcm
652,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00652/FLAIR/Image-119.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00652/T1w/Image-92.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00652/T1wCE/Image-81.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00652/T2w/Image-126.dcm
651,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00651/FLAIR/Image-76.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00651/T1w/Image-113.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00651/T1wCE/Image-113.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00651/T2w/Image-215.dcm
71,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00071/FLAIR/Image-145.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00071/T1w/Image-20.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00071/T1wCE/Image-63.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00071/T2w/Image-178.dcm
691,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00691/FLAIR/Image-63.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00691/T1w/Image-208.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00691/T1wCE/Image-211.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00691/T2w/Image-194.dcm
456,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00456/FLAIR/Image-14.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00456/T1w/Image-15.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00456/T1wCE/Image-81.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00456/T2w/Image-15.dcm
221,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00221/FLAIR/Image-34.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00221/T1w/Image-105.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00221/T1wCE/Image-103.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00221/T2w/Image-38.dcm
263,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00263/FLAIR/Image-36.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00263/T1w/Image-114.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00263/T1wCE/Image-116.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00263/T2w/Image-37.dcm
238,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00238/FLAIR/Image-30.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00238/T1w/Image-89.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00238/T1wCE/Image-94.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00238/T2w/Image-33.dcm
529,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00529/FLAIR/Image-67.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00529/T1w/Image-156.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00529/T1wCE/Image-41.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00529/T2w/Image-333.dcm
594,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00594/FLAIR/Image-34.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00594/T1w/Image-10.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00594/T1wCE/Image-65.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00594/T2w/Image-54.dcm
421,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00421/FLAIR/Image-40.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00421/T1w/Image-109.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00421/T1wCE/Image-109.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00421/T2w/Image-39.dcm
140,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00140/FLAIR/Image-12.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00140/T1w/Image-14.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00140/T1wCE/Image-14.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00140/T2w/Image-14.dcm
148,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00148/FLAIR/Image-34.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00148/T1w/Image-53.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00148/T1wCE/Image-90.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00148/T2w/Image-333.dcm
787,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00787/FLAIR/Image-15.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00787/T1w/Image-16.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00787/T1wCE/Image-16.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00787/T2w/Image-17.dcm
70,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00070/FLAIR/Image-104.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00070/T1w/Image-175.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00070/T1wCE/Image-60.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00070/T2w/Image-149.dcm
334,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00334/FLAIR/Image-34.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00334/T1w/Image-117.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00334/T1wCE/Image-116.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00334/T2w/Image-36.dcm
400,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00400/FLAIR/Image-34.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00400/T1w/Image-127.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00400/T1wCE/Image-123.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00400/T2w/Image-29.dcm
758,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00758/FLAIR/Image-66.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00758/T1w/Image-86.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00758/T1wCE/Image-86.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00758/T2w/Image-230.dcm
642,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00642/FLAIR/Image-70.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00642/T1w/Image-80.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00642/T1wCE/Image-80.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00642/T2w/Image-101.dcm
624,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00624/FLAIR/Image-74.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00624/T1w/Image-135.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00624/T1wCE/Image-155.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00624/T2w/Image-93.dcm
601,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00601/FLAIR/Image-74.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00601/T1w/Image-103.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00601/T1wCE/Image-95.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00601/T2w/Image-200.dcm
659,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00659/FLAIR/Image-141.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00659/T1w/Image-205.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00659/T1wCE/Image-206.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00659/T2w/Image-112.dcm
589,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00589/FLAIR/Image-17.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00589/T1w/Image-9.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00589/T1wCE/Image-19.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00589/T2w/Image-18.dcm
167,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00167/FLAIR/Image-34.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00167/T1w/Image-114.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00167/T1wCE/Image-109.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00167/T2w/Image-37.dcm
445,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00445/FLAIR/Image-10.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00445/T1w/Image-132.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00445/T1wCE/Image-174.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00445/T2w/Image-9.dcm
228,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00228/FLAIR/Image-20.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00228/T1w/Image-19.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00228/T1wCE/Image-19.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00228/T2w/Image-18.dcm
170,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00170/FLAIR/Image-106.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00170/T1w/Image-114.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00170/T1wCE/Image-111.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00170/T2w/Image-35.dcm
618,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00618/FLAIR/Image-78.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00618/T1w/Image-88.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00618/T1wCE/Image-108.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00618/T2w/Image-206.dcm
452,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00452/FLAIR/Image-16.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00452/T1w/Image-101.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00452/T1wCE/Image-101.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00452/T2w/Image-17.dcm
388,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00388/FLAIR/Image-20.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00388/T1w/Image-22.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00388/T1wCE/Image-24.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00388/T2w/Image-19.dcm
403,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00403/FLAIR/Image-17.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00403/T1w/Image-20.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00403/T1wCE/Image-107.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00403/T2w/Image-20.dcm
668,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00668/FLAIR/Image-183.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00668/T1w/Image-18.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00668/T1wCE/Image-136.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00668/T2w/Image-237.dcm
416,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00416/FLAIR/Image-27.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00416/T1w/Image-118.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00416/T1wCE/Image-101.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00416/T2w/Image-27.dcm
688,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00688/FLAIR/Image-61.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00688/T1w/Image-131.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00688/T1wCE/Image-127.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00688/T2w/Image-185.dcm
329,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00329/FLAIR/Image-30.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00329/T1w/Image-116.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00329/T1wCE/Image-104.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00329/T2w/Image-37.dcm
795,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00795/FLAIR/Image-13.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00795/T1w/Image-13.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00795/T1wCE/Image-13.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00795/T2w/Image-16.dcm
158,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00158/FLAIR/Image-32.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00158/T1w/Image-112.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00158/T1wCE/Image-106.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00158/T2w/Image-34.dcm
724,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00724/FLAIR/Image-72.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00724/T1w/Image-153.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00724/T1wCE/Image-158.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00724/T2w/Image-101.dcm
402,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00402/FLAIR/Image-30.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00402/T1w/Image-115.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00402/T1wCE/Image-104.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00402/T2w/Image-34.dcm
370,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00370/FLAIR/Image-29.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00370/T1w/Image-111.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00370/T1wCE/Image-107.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00370/T2w/Image-35.dcm
555,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00555/FLAIR/Image-68.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00555/T1w/Image-91.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00555/T1wCE/Image-99.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00555/T2w/Image-221.dcm
496,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00496/FLAIR/Image-111.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00496/T1w/Image-122.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00496/T1wCE/Image-110.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00496/T2w/Image-202.dcm
803,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00803/FLAIR/Image-18.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00803/T1w/Image-15.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00803/T1wCE/Image-15.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00803/T2w/Image-17.dcm
605,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00605/FLAIR/Image-70.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00605/T1w/Image-86.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00605/T1wCE/Image-88.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00605/T2w/Image-204.dcm
533,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00533/FLAIR/Image-71.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00533/T1w/Image-92.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00533/T1wCE/Image-82.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00533/T2w/Image-90.dcm
171,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00171/FLAIR/Image-24.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00171/T1w/Image-121.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00171/T1wCE/Image-90.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00171/T2w/Image-39.dcm
677,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00677/FLAIR/Image-72.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00677/T1w/Image-114.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00677/T1wCE/Image-113.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00677/T2w/Image-250.dcm
597,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00597/FLAIR/Image-37.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00597/T1w/Image-81.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00597/T1wCE/Image-81.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00597/T2w/Image-58.dcm
799,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00799/FLAIR/Image-15.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00799/T1w/Image-14.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00799/T1wCE/Image-14.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00799/T2w/Image-16.dcm
1000,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/01000/FLAIR/Image-28.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/01000/T1w/Image-110.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/01000/T1wCE/Image-108.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/01000/T2w/Image-29.dcm
245,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00245/FLAIR/Image-34.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00245/T1w/Image-120.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00245/T1wCE/Image-111.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00245/T2w/Image-39.dcm
516,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00516/FLAIR/Image-71.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00516/T1w/Image-18.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00516/T1wCE/Image-127.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00516/T2w/Image-200.dcm
495,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00495/FLAIR/Image-81.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00495/T1w/Image-108.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00495/T1wCE/Image-119.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00495/T2w/Image-177.dcm
